coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,message,snow
"{'lon': -60.3797, 'lat': -5.1206}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 303.23, 'feels_like': 308.94, 'temp_min': 303.23, 'temp_max': 303.23, 'pressure': 1011, 'humidity': 74, 'sea_level': 1011, 'grnd_level': 1008}",10000.0,"{'speed': 0.9500000000000001, 'deg': 229}",{'all': 45},1610118198.0,"{'country': 'BR', 'sunrise': 1610099768, 'sunset': 1610144406}",-14400.0,3663142.0,Novo Aripuanã,200,,,
"{'lon': -77, 'lat': 40.1254}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 271.71, 'feels_like': 266.44, 'temp_min': 271.48, 'temp_max': 272.15, 'pressure': 1019, 'humidity': 69}",10000.0,"{'speed': 3.6, 'deg': 320}",{'all': 1},1610117852.0,"{'type': 1, 'id': 3751, 'country': 'US', 'sunrise': 1610109003, 'sunset': 1610143152}",-18000.0,5220355.0,York,200,,,
"{'lon': 12.6934, 'lat': 67.667}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 274.15, 'feels_like': 267.09, 'temp_min': 274.15, 'temp_max': 274.15, 'pressure': 1017, 'humidity': 75}",10000.0,"{'speed': 6.69, 'deg': 140}",{'all': 75},1610118147.0,"{'type': 1, 'id': 1707, 'country': 'NO', 'sunrise': 1610100313, 'sunset': 1610108776}",3600.0,3137469.0,Sørland,200,,,
"{'lon': -51.1, 'lat': 69.2167}","[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13n'}]",stations,"{'temp': 256.15, 'feels_like': 241.36, 'temp_min': 256.15, 'temp_max': 256.15, 'pressure': 1034, 'humidity': 71}",10000.0,"{'speed': 15.95, 'deg': 100}",{'all': 20},1610118154.0,"{'type': 1, 'id': 165, 'country': 'GL', 'sunrise': 0, 'sunset': 0}",-10800.0,3423146.0,Ilulissat,200,,,
"{'lon': -69.3632, 'lat': 77.484}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 253.26, 'feels_like': 245.37, 'temp_min': 253.26, 'temp_max': 253.26, 'pressure': 1033, 'humidity': 87, 'sea_level': 1033, 'grnd_level': 1029}",1349.0,"{'speed': 6.08, 'deg': 94}",{'all': 100},1610118198.0,"{'country': 'GL', 'sunrise': 0, 'sunset': 0}",-14400.0,3831208.0,Qaanaaq,200,,,
"{'lon': 26.891, 'lat': -33.5906}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 298.15, 'feels_like': 302.38, 'temp_min': 298.15, 'temp_max': 298.15, 'pressure': 1010, 'humidity': 82}",10000.0,"{'speed': 0.45, 'deg': 254, 'gust': 2.68}",{'all': 65},1610118091.0,"{'type': 3, 'id': 2011314, 'country': 'ZA', 'sunrise': 1610075488, 'sunset': 1610126784}",7200.0,964432.0,Port Alfred,200,{'1h': 0.1},,
"{'lon': -152.4072, 'lat': 57.79}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 275.15, 'feels_like': 268.49, 'temp_min': 275.15, 'temp_max': 275.15, 'pressure': 984, 'humidity': 87}",10000.0,"{'speed': 6.69, 'deg': 300}",{'all': 90},1610118142.0,"{'type': 1, 'id': 7668, 'country': 'US', 'sunrise': 1610131722, 'sunset': 1610156638}",-32400.0,5866583.0,Saint Paul Harbor,200,{'1h': 0.11},,
"{'lon': -159.775, 'lat': -21.2078}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 297.15, 'feels_like': 300.71, 'temp_min': 297.15, 'temp_max': 297.15, 'pressure': 1014, 'humidity': 88}",10000.0,"{'speed': 1.54, 'deg': 130}",{'all': 14},1610118150.0,"{'type': 1, 'id': 7271, 'country': 'CK', 'sunrise': 1610121934, 'sunset': 1610169964}",-36000.0,4035715.0,Avarua,200,,,
"{'lon': -78.8784, 'lat': 35.0527}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 277.47, 'feels_like': 271.93, 'temp_min': 277.04, 'temp_max': 278.15, 'pressure': 1013, 'humidity': 75}",10000.0,"{'speed': 5.14, 'deg': 30}",{'all': 90},1610117944.0,"{'type': 1, 'id': 4061, 'country': 'US', 'sunrise': 1610108644, 'sunset': 1610144412}",-18000.0,4466033.0,Fayetteville,200,,,
"{'lon': 152.4333, 'lat': -3.6667}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 299.91, 'feels_like': 302.25, 'temp_min': 299.91, 'temp_max': 299.91, 'pressure': 1007, 'humidity': 80, 'sea_level': 1007, 'grnd_level': 1001}",10000.0,"{'speed': 4.16, 'deg': 65}",{'all': 99},1610118153.0,"{'country': 'PG', 'sunrise': 1610135248, 'sunset': 1610179596}",36000.0,2090021.0,Namatanai,200,,,
