coord/lon,coord/lat,weather/0/id,weather/0/main,weather/0/description,weather/0/icon,base,main/temp,main/feels_like,main/temp_min,main/temp_max,main/pressure,main/humidity,visibility,wind/speed,wind/deg,clouds/all,dt,sys/type,sys/id,sys/country,sys/sunrise,sys/sunset,timezone,id,name,cod,main/sea_level,main/grnd_level,wind/gust,rain/1h,message,snow/1h,weather/1/id,weather/1/main,weather/1/description,weather/1/icon
-1.7073,52.1917,800,Clear,clear sky,01n,stations,274.1,271.61,273.15,274.82,1026,99,10000,0.89,253,0,1610213150,3,2002167,GB,1610179980,1610208873,0,2636713,Stratford-upon-Avon,200,,,1.79,,,,,,,
108.2082,-7.3817,500,Rain,light rain,10n,stations,296.92,301.3,296.92,296.92,1008,87,8072,0.07,281,100,1610213150,,,ID,1610231928,1610277000,25200,1640902,Kawalu,200,1008,971,,0.7182,,,,,,
-40.2925,-20.3297,500,Rain,light rain,10d,stations,303.81,304.33,302.59,304.82,1009,66,10000,7.2,50,20,1610213122,1,8474,BR,1610179785,1610227594,-10800,3445026,Vila Velha,200,,,,0.28,,,,,,
148.1667,-23.5333,804,Clouds,overcast clouds,04n,stations,292.41,291.44,291.48,293.15,1011,100,10000,6.17,150,90,1610213150,1,9524,AU,1610220602,1610269140,36000,2167426,Emerald,200,,,,,,,,,,
114.1577,22.2855,804,Clouds,overcast clouds,04n,stations,284.19,280.95,278.15,285.93,1023,32,10000,0.89,63,98,1610212986,3,2035800,HK,1610233484,1610272586,28800,1819729,Hong Kong,200,,,1.34,,,,,,,
48.3043,30.3392,800,Clear,clear sky,01n,stations,287.15,285.48,287.15,287.15,1022,58,8000,1.03,100,0,1610213150,1,7439,IR,1610163862,1610200978,12600,145459,Ābādān,200,,,,,,,,,,
15.1889,45.5711,800,Clear,clear sky,01n,stations,274.04,271.68,273.15,274.82,1021,93,10000,0.51,40,0,1610213151,1,6816,SI,1610174301,1610206440,3600,3202333,Črnomelj,200,,,,,,,,,,
9.2618,-1.5746,801,Clouds,few clouds,02d,stations,300.05,303.36,300.05,300.05,1008,82,10000,3.22,240,23,1610213151,,,GA,1610169825,1610213762,3600,2396853,Omboué,200,1008,1007,,,,,,,,
13.45,-5.8167,801,Clouds,few clouds,02d,stations,300.63,304.54,300.63,300.63,1008,78,10000,2.14,222,20,1610212889,,,CD,1610168403,1610213172,3600,2313002,Matadi,200,1008,1006,,,,,,,,
-8.0083,31.6315,502,Rain,heavy intensity rain,10d,stations,281.15,275.19,281.15,281.15,1014,87,3500,7.2,260,75,1610213151,1,2409,MA,1610177550,1610214329,3600,2542997,Marrakesh,200,,,,0.12,,,,,,
28.0048,52.7985,804,Clouds,overcast clouds,04n,stations,269.4,265.06,269.4,269.4,1014,98,8992,2.62,288,98,1610213151,,,BY,1610173031,1610201556,10800,625721,Lyuban',200,1014,997,,,,,,,,
81.4808,6.7989,501,Rain,moderate rain,10n,stations,295.53,299.18,295.53,295.53,1010,95,10000,1.15,273,100,1610213151,,,LK,1610153305,1610195606,19800,1224061,Wattegama,200,1010,997,,1.7524,,,,,,
-79.2353,42.097,803,Clouds,broken clouds,04d,stations,273.06,267.46,272.15,274.26,1020,64,10000,4.12,330,75,1610213151,1,4588,US,1610196278,1610229799,-18000,5122534,Jamestown,200,,,,,,,,,,
158.6167,54.7167,804,Clouds,overcast clouds,04n,stations,255.73,250.71,255.73,255.73,996,87,10000,2.09,218,95,1610213151,,,RU,1610228666,1610256058,43200,2123278,Mil'kovo,200,996,975,,,,,,,,
-155.09,19.7297,804,Clouds,overcast clouds,04d,stations,292.08,293.34,290.37,294.15,1016,88,10000,1.54,200,90,1610212981,1,7881,US,1610211419,1610251079,-36000,5855927,Hilo,200,,,,,,,,,,
114.0833,71.9167,804,Clouds,overcast clouds,04n,stations,244.47,237.34,244.47,244.47,1031,86,1372,4.7,331,100,1610213152,,,RU,0,0,32400,2017155,Saskylakh,200,1031,1030,,,,,,,,
88.3972,69.4865,802,Clouds,scattered clouds,03n,stations,241.63,237.6,241.63,241.63,1031,84,10000,0.22,264,38,1610213152,,,RU,0,0,25200,1490256,Talnakh,200,1031,1022,,,,,,,,
-3.3123,56.3325,804,Clouds,overcast clouds,04n,stations,275.37,272.63,275.37,275.37,1014,93,10000,1.34,0,100,1610213152,3,2012177,GB,1610181728,1610207895,0,2657792,Abernethy,200,,,2.68,,,,,,,
-65.7125,66.1451,804,Clouds,overcast clouds,04d,stations,258.15,254.43,258.15,258.15,1008,78,10000,0.3,339,90,1610213152,1,968,CA,1610202903,1610216681,-18000,6096551,Pangnirtung,200,,,,,,,,,,
5.6457,58.6147,500,Rain,light rain,10n,stations,274.55,267.81,274.26,275.15,1016,87,10000,6.69,160,40,1610213152,1,1680,NO,1610180517,1610204805,3600,3132644,Varhaug,200,,,,,,,,,,
161.9205,-10.4544,804,Clouds,overcast clouds,04n,stations,300.09,304.19,300.09,300.09,1007,77,10000,1.29,168,100,1610213152,,,SB,1610218724,1610264414,39600,2178753,Kirakira,200,1007,1005,,,,,,,,
122.7875,-0.9516,801,Clouds,few clouds,02n,stations,298.4,301.21,298.4,298.4,1007,76,10000,1.75,324,17,1610213152,,,ID,1610229056,1610272871,28800,1637001,Luwuk,200,1007,1004,,,,,,,,
169.2667,-19.55,804,Clouds,overcast clouds,04n,stations,299.7,303.68,299.7,299.7,1008,83,10000,2.15,41,100,1610213152,,,VU,1610215996,1610263615,39600,2136825,Isangel,200,1008,1008,,,,,,,,
122.6711,10.9995,804,Clouds,overcast clouds,04n,stations,297.09,298.13,297.09,297.09,1009,90,10000,5.38,3,100,1610213153,,,PH,1610230252,1610271731,28800,1714733,Dingle,200,1009,1006,,,,,,,,
-157.8378,21.4447,801,Clouds,few clouds,02d,stations,293.61,295.04,292.59,295.15,1016,83,10000,1.63,47,20,1610213153,1,7877,US,1610212267,1610251549,-36000,5856516,‘Āhuimanu,200,,,,,,,,,,
-18.0878,65.6835,804,Clouds,overcast clouds,04n,stations,268.15,262.66,268.15,268.15,1015,74,10000,3.6,360,90,1610213153,1,83,IS,1610190970,1610205748,0,2633274,Akureyri,200,,,,,,,,,,
156.125,50.6789,804,Clouds,overcast clouds,04n,stations,266.75,260.71,266.75,266.75,1002,87,10000,4.46,278,90,1610213153,,,RU,1610228063,1610257858,39600,2121385,Severo-Kuril'sk,200,1002,1001,,,,,,,,
-50.0119,-24.7911,803,Clouds,broken clouds,04d,stations,297.98,300.42,297.98,297.98,1011,79,9073,2.45,85,75,1610213153,,,BR,1610181593,1610230452,-10800,3466704,Castro,200,1011,903,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,,,
164.0167,-20.2333,804,Clouds,overcast clouds,04n,stations,300.83,301.41,300.83,300.83,1006,79,10000,7.23,354,91,1610213153,,,NC,1610217179,1610264952,39600,2138555,Poum,200,1006,1006,,,,,,,,
-57.5575,-38.0023,800,Clear,clear sky,01d,stations,299.15,295.53,299.15,299.15,1011,36,10000,5.14,360,0,1610213153,1,8305,AR,1610181518,1610234151,-10800,3430863,Mar del Plata,200,,,,,,,,,,
82.4667,65.7,804,Clouds,overcast clouds,04n,stations,248.89,243.63,248.89,248.89,1027,90,613,2.17,21,90,1610213153,,,RU,1610166896,1610181542,18000,1502073,Krasnosel'kup,200,1027,1026,,,,,,,,
18.4232,-33.9258,801,Clouds,few clouds,02d,stations,295,290.79,293.71,296.48,1012,56,10000,7.2,200,20,1610212794,1,1899,ZA,1610163924,1610215264,7200,3369157,Cape Town,200,,,,,,,,,,
81.2335,8.5711,501,Rain,moderate rain,10n,stations,297.73,300.89,297.73,297.73,1010,90,9962,2.84,226,100,1610213048,,,LK,1610153539,1610195490,19800,1226260,Trincomalee,200,1010,1009,,1.4262,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,,,
-82.554,35.6009,802,Clouds,scattered clouds,03d,stations,273.85,264.6,272.59,275.37,1018,75,10000,9.77,350,40,1610212969,1,3351,US,1610196003,1610231667,-18000,4453066,Asheville,200,,,14.92,,,,,,,
-40.2122,-3.4606,802,Clouds,scattered clouds,03d,stations,308.95,308.46,308.95,308.95,1009,35,10000,4.65,66,40,1610213154,,,BR,1610181518,1610225823,-10800,3389387,Santana do Acaraú,200,1009,1004,,,,,,,,
15.1594,-26.6481,802,Clouds,scattered clouds,03d,stations,296.72,288.69,296.72,296.72,1010,49,10000,12.45,175,39,1610213154,,,NA,1610165712,1610215042,7200,3355672,Lüderitz,200,1010,1006,,,,,,,,
26.891,-33.5906,800,Clear,clear sky,01d,stations,297.59,301.52,297.59,297.59,1007,88,10000,1.34,294,0,1610213154,3,2011314,ZA,1610161940,1610213181,7200,964432,Port Alfred,200,,,4.92,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,,,
135.9833,33.7333,800,Clear,clear sky,01n,stations,273.02,266.33,273.02,273.02,1019,91,10000,6.44,288,2,1610213154,,,JP,1610229681,1610265910,32400,1847947,Shingū,200,1019,1018,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,,,
114.6,-28.7667,804,Clouds,overcast clouds,04n,stations,296.15,296.84,296.15,296.15,1012,78,10000,3.6,190,93,1610213154,1,9522,AU,1610228006,1610277852,28800,2070998,Geraldton,200,,,,,,,,,,
-17.1,32.6667,803,Clouds,broken clouds,04d,stations,283.18,281.16,280.37,286.48,1020,72,10000,1.34,294,59,1610213155,3,2008291,PT,1610179873,1610216370,0,2264557,Ponta do Sol,200,,,3.13,,,,,,,
138.3297,46.5389,804,Clouds,overcast clouds,04n,stations,252.44,245.34,252.44,252.44,1013,81,10000,4.87,313,100,1610213155,,,RU,1610231340,1610263125,36000,2015852,Svetlaya,200,1013,1009,,,,,,,,
-122.1215,47.674,803,Clouds,broken clouds,04d,stations,272.96,270.04,271.48,274.26,1026,96,10000,1.18,88,72,1610212980,3,2016501,US,1610207708,1610238960,-28800,5808079,Redmond,200,,,,,,,,,,
